,s20230901019,s20230901020,s20230901021,s20230901022,s20230901023,s20230901024,s20230901025,s20230901026,s20230901027,s20230901028,s20230901029,s20230901030,s20230901031,s20230901032,s20230901033,s20230901052,s20230901053,s20230901054,s20230901055,s20230901056,s20230901057,s20230901058,s20230901059,s20230901060,s20230901079,s20230901080,s20230901081,s20230901082,s20230901083,s20230901084,s20230901085,s20230901086,s20230901087
C38H49O6N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0732411318406,18.0732411318406,NA,18.0732411318406,18.0732411318406,18.0732411318406,NA,18.0732411318406
C37H45O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.65307437972285,NA,8.65307437972285,8.65307437972285,8.65307437972285,8.65307437972285,8.65307437972285,8.65307437972285,8.65307437972285
C38H47O8N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0471002491695,8.0471002491695,8.0471002491695,8.0471002491695,8.0471002491695,8.0471002491695,8.0471002491695,8.0471002491695
C39H41O11N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.95820866361188,NA,8.95820866361188,8.95820866361188,8.95820866361188,8.95820866361188,8.95820866361188
C37H39O10N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.50267899081,NA,22.50267899081,22.50267899081,22.50267899081,22.50267899081,22.50267899081,22.50267899081,22.50267899081
C39H45O10N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18181257074558,7.18181257074558,7.18181257074558,7.18181257074558,7.18181257074558,7.18181257074558,NA,NA,NA
C40H45O10N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.40458166480827,9.40458166480827,9.40458166480827,9.40458166480827,9.40458166480827,NA,9.40458166480827
C41H45O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3550617846681,NA,14.3550617846681,14.3550617846681,14.3550617846681,14.3550617846681,14.3550617846681
C38H43O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6116612037452,19.6116612037452,19.6116612037452,19.6116612037452,19.6116612037452,19.6116612037452,19.6116612037452
C39H45O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0679923802302,NA,17.0679923802302,17.0679923802302,17.0679923802302,17.0679923802302,17.0679923802302,17.0679923802302,17.0679923802302
C37H43O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8706203237314,NA,22.8706203237314,22.8706203237314,22.8706203237314,22.8706203237314,22.8706203237314,22.8706203237314,22.8706203237314
C33H31O5N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.716743787566,23.716743787566,23.716743787566,23.716743787566,23.716743787566,23.716743787566
C36H27O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8510899455612,NA,NA,15.8510899455612,15.8510899455612,15.8510899455612,15.8510899455612,NA,15.8510899455612
C37H29O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5395775962081,16.5395775962081,16.5395775962081,NA,NA,16.5395775962081,16.5395775962081,NA,16.5395775962081
C36H29O14N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7549572100097,21.7549572100097,21.7549572100097,NA,NA,21.7549572100097,21.7549572100097,21.7549572100097,21.7549572100097
C34H25O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3076564869789,NA,15.3076564869789,15.3076564869789,NA,15.3076564869789,NA,15.3076564869789,15.3076564869789
C33H27O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81897083122125,6.81897083122125,6.81897083122125,6.81897083122125,NA,6.81897083122125,6.81897083122125,6.81897083122125,6.81897083122125
C34H27O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.026599069699,17.026599069699,17.026599069699,17.026599069699,17.026599069699,17.026599069699,17.026599069699,17.026599069699,17.026599069699
C35H29O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7093842199157,NA,NA,15.7093842199157,15.7093842199157,15.7093842199157,15.7093842199157,15.7093842199157,15.7093842199157
C31H21O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2849287081627,NA,12.2849287081627,NA,12.2849287081627,12.2849287081627,12.2849287081627,NA,12.2849287081627
C32H25O11N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9784877495725,NA,18.9784877495725,18.9784877495725,18.9784877495725,18.9784877495725,18.9784877495725,18.9784877495725,18.9784877495725
C39H37O11N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47248074217105,NA,6.47248074217105,6.47248074217105,NA,6.47248074217105,6.47248074217105,NA,6.47248074217105
C36H33O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.730139434963,NA,NA,15.730139434963,15.730139434963,15.730139434963,15.730139434963,15.730139434963,15.730139434963
C37H37O11N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9762518512258,20.9762518512258,20.9762518512258,20.9762518512258,20.9762518512258,NA,20.9762518512258
C38H35O11N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8070953690968,11.8070953690968,11.8070953690968,NA,11.8070953690968,11.8070953690968,NA,11.8070953690968
C37H31O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76991082155413,NA,7.76991082155413,7.76991082155413,7.76991082155413,7.76991082155413,7.76991082155413,7.76991082155413,7.76991082155413
C38H33O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92616156071511,NA,NA,4.92616156071511,4.92616156071511,4.92616156071511,4.92616156071511,NA,4.92616156071511
C37H33O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8479121342746,NA,NA,22.8479121342746,22.8479121342746,22.8479121342746,22.8479121342746,NA,22.8479121342746
C38H31O11N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9150346004945,20.9150346004945,20.9150346004945,20.9150346004945,NA,20.9150346004945,20.9150346004945
C32H27O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1212837725077,27.1212837725077,27.1212837725077,27.1212837725077,27.1212837725077,27.1212837725077,27.1212837725077,27.1212837725077,27.1212837725077
C34H31O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5197153857022,NA,18.5197153857022,18.5197153857022,18.5197153857022,18.5197153857022,18.5197153857022,NA,18.5197153857022
C35H31O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9828198949194,12.9828198949194,12.9828198949194,12.9828198949194,12.9828198949194,12.9828198949194,12.9828198949194,12.9828198949194,12.9828198949194
C35H35O11N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5744376055789,NA,10.5744376055789,10.5744376055789,10.5744376055789,10.5744376055789,10.5744376055789,10.5744376055789,10.5744376055789
C24H26O5N2S1P2,NA,14.7928791857678,14.7928791857678,14.7928791857678,NA,NA,14.7928791857678,NA,NA,14.7928791857678,14.7928791857678,14.7928791857678,14.7928791857678,14.7928791857678,14.7928791857678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C22H22O2N2S1P2,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,7.07046458644524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29H36O6N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76533428717012,NA,NA,5.76533428717012,5.76533428717012,5.76533428717012,5.76533428717012,5.76533428717012,5.76533428717012
C29H36O5N2S1P2,23.3533411009335,23.3533411009335,23.3533411009335,NA,23.3533411009335,23.3533411009335,NA,NA,23.3533411009335,23.3533411009335,NA,23.3533411009335,23.3533411009335,23.3533411009335,23.3533411009335,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3533411009335,23.3533411009335,23.3533411009335,23.3533411009335,23.3533411009335,23.3533411009335,23.3533411009335,23.3533411009335,23.3533411009335
C26H30O5N2S1P2,17.1907790802482,17.1907790802482,17.1907790802482,NA,NA,17.1907790802482,NA,17.1907790802482,NA,17.1907790802482,17.1907790802482,NA,17.1907790802482,17.1907790802482,17.1907790802482,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1907790802482,NA,17.1907790802482,17.1907790802482,17.1907790802482,17.1907790802482,17.1907790802482,NA,17.1907790802482
C27H30O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3609726775512,11.3609726775512,11.3609726775512,11.3609726775512,11.3609726775512,11.3609726775512,11.3609726775512,11.3609726775512,11.3609726775512
C29H34O4N2S1P2,7.01913675534017,7.01913675534017,7.01913675534017,7.01913675534017,NA,7.01913675534017,7.01913675534017,NA,7.01913675534017,7.01913675534017,7.01913675534017,7.01913675534017,7.01913675534017,7.01913675534017,7.01913675534017,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.01913675534017,7.01913675534017,7.01913675534017,7.01913675534017,7.01913675534017,7.01913675534017,7.01913675534017,7.01913675534017,7.01913675534017
C31H54O16N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4122488152345,28.4122488152345,28.4122488152345,28.4122488152345,28.4122488152345,28.4122488152345
C27H34O21N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3849842392934,NA,18.3849842392934,NA,18.3849842392934,18.3849842392934,18.3849842392934,NA,18.3849842392934
C26H32O20N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8589125643108,NA,32.8589125643108,32.8589125643108,32.8589125643108,32.8589125643108,32.8589125643108,32.8589125643108,32.8589125643108
C27H34O20N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.73545771558289,9.73545771558289,9.73545771558289,9.73545771558289,9.73545771558289,9.73545771558289,NA,9.73545771558289
C19H23O7N2P1,38.6358656578924,38.6358656578924,38.6358656578924,38.6358656578924,NA,38.6358656578924,38.6358656578924,NA,NA,38.6358656578924,38.6358656578924,NA,NA,38.6358656578924,38.6358656578924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25H38O23N2S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8465106615248,NA,24.8465106615248,NA,24.8465106615248,24.8465106615248,24.8465106615248,24.8465106615248,24.8465106615248
C23H34O23N2S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5781683435963,10.5781683435963,NA,NA,NA,10.5781683435963,10.5781683435963,10.5781683435963,10.5781683435963
C25H32O21N2S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2311212262023,19.2311212262023,19.2311212262023,19.2311212262023,19.2311212262023,19.2311212262023,19.2311212262023,19.2311212262023,19.2311212262023
C26H32O22N2S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.272988572107,18.272988572107,18.272988572107,18.272988572107,NA,18.272988572107,18.272988572107,18.272988572107
C31H42O14,0.0765379351328179,0.0765379351328179,0.0765379351328179,NA,0.0765379351328179,0.0765379351328179,0.0765379351328179,NA,NA,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179,NA,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179,NA,NA,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179,0.0765379351328179
C31H42O15,0.0156928724705462,0.0156928724705462,0.0156928724705462,0.0156928724705462,NA,0.0156928724705462,0.0156928724705462,0.0156928724705462,NA,0.0156928724705462,0.0156928724705462,NA,0.0156928724705462,0.0156928724705462,0.0156928724705462,0.0156928724705462,0.0156928724705462,NA,0.0156928724705462,0.0156928724705462,0.0156928724705462,NA,0.0156928724705462,NA,0.0156928724705462,0.0156928724705462,0.0156928724705462,0.0156928724705462,0.0156928724705462,0.0156928724705462,0.0156928724705462,0.0156928724705462,NA
C33H44O16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.461318973951178,NA,0.461318973951178,0.461318973951178,0.461318973951178,0.461318973951178,0.461318973951178,0.461318973951178,0.461318973951178
