,s20230901019,s20230901020,s20230901021,s20230901022,s20230901023,s20230901024,s20230901025,s20230901026,s20230901027,s20230901028,s20230901029,s20230901030,s20230901031,s20230901032,s20230901033,s20230901052,s20230901053,s20230901054,s20230901055,s20230901056,s20230901057,s20230901058,s20230901059,s20230901060,s20230901079,s20230901080,s20230901081,s20230901082,s20230901083,s20230901084,s20230901085,s20230901086,s20230901087
C48H40O4N2,26.0659253043397,26.0659253043397,NA,26.0659253043397,NA,26.0659253043397,NA,NA,NA,26.0659253043397,26.0659253043397,26.0659253043397,26.0659253043397,26.0659253043397,26.0659253043397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0659253043397,26.0659253043397,26.0659253043397,26.0659253043397,26.0659253043397,26.0659253043397
C31H20O6,4.75577512606058,4.75577512606058,4.75577512606058,4.75577512606058,NA,4.75577512606058,4.75577512606058,NA,4.75577512606058,4.75577512606058,4.75577512606058,NA,4.75577512606058,4.75577512606058,4.75577512606058,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75577512606058,NA,4.75577512606058,4.75577512606058,4.75577512606058,4.75577512606058,4.75577512606058,4.75577512606058,4.75577512606058
C31H18O6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37288146088564,4.37288146088564,4.37288146088564,4.37288146088564,4.37288146088564,4.37288146088564,4.37288146088564,4.37288146088564
C34H28O5,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,NA,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,NA,5.9154607674303,NA,5.9154607674303,NA,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303,5.9154607674303
C34H28O6,1.56679814194441,1.56679814194441,1.56679814194441,1.56679814194441,NA,1.56679814194441,NA,NA,NA,1.56679814194441,1.56679814194441,1.56679814194441,1.56679814194441,1.56679814194441,1.56679814194441,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56679814194441,1.56679814194441,NA,1.56679814194441,1.56679814194441,1.56679814194441,1.56679814194441,1.56679814194441,1.56679814194441
C34H26O4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39023249833009,NA,3.39023249833009,NA,3.39023249833009,3.39023249833009,3.39023249833009,3.39023249833009
C38H21O1N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6544805602903,13.6544805602903,13.6544805602903,13.6544805602903,13.6544805602903,13.6544805602903,13.6544805602903,13.6544805602903,13.6544805602903
C39H23O1N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3358780760841,NA,21.3358780760841,NA,21.3358780760841,21.3358780760841,21.3358780760841,21.3358780760841,21.3358780760841
C38H19O2N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0222945457904,13.0222945457904,NA,13.0222945457904,13.0222945457904,NA,13.0222945457904,13.0222945457904,13.0222945457904
C34H15O1N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5486356690269,NA,11.5486356690269,NA,NA,11.5486356690269,11.5486356690269,11.5486356690269,11.5486356690269
C28H58O5S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71507784743376,7.71507784743376,7.71507784743376,7.71507784743376,7.71507784743376,7.71507784743376,7.71507784743376,7.71507784743376,7.71507784743376
C26H54O5S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62609932577839,3.62609932577839,3.62609932577839,3.62609932577839,NA,3.62609932577839,3.62609932577839,3.62609932577839,3.62609932577839
C29H50O4S1,12.8397524937426,12.8397524937426,NA,12.8397524937426,12.8397524937426,NA,12.8397524937426,12.8397524937426,NA,12.8397524937426,12.8397524937426,12.8397524937426,NA,NA,12.8397524937426,12.8397524937426,12.8397524937426,12.8397524937426,12.8397524937426,12.8397524937426,12.8397524937426,12.8397524937426,NA,NA,12.8397524937426,NA,12.8397524937426,12.8397524937426,12.8397524937426,12.8397524937426,12.8397524937426,12.8397524937426,12.8397524937426
C34H69O6N1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79800158723348,NA,2.79800158723348,NA,2.79800158723348,2.79800158723348,2.79800158723348,2.79800158723348,2.79800158723348
C35H63O6N1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2153477437198,10.2153477437198,10.2153477437198,NA,NA,10.2153477437198,NA,10.2153477437198,10.2153477437198
C32H65O5N1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25341108243488,5.25341108243488,NA,5.25341108243488,5.25341108243488,5.25341108243488,5.25341108243488
C34H67O5N1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54938922412338,6.54938922412338,6.54938922412338,6.54938922412338,6.54938922412338,6.54938922412338,6.54938922412338,6.54938922412338,6.54938922412338
C31H63O6N1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.70237636260218,NA,6.70237636260218,NA,NA,6.70237636260218,6.70237636260218,6.70237636260218,6.70237636260218
C32H65O7N1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67761115095351,NA,4.67761115095351,NA,NA,4.67761115095351,4.67761115095351,4.67761115095351,4.67761115095351
C32H65O6N1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14268678965163,NA,7.14268678965163,7.14268678965163,7.14268678965163,7.14268678965163,NA,7.14268678965163,7.14268678965163
C33H67O6N1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.96619947229563,NA,7.96619947229563,7.96619947229563,7.96619947229563,7.96619947229563,7.96619947229563,7.96619947229563,7.96619947229563
C33H65O6N1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0417599642676,NA,10.0417599642676,NA,NA,10.0417599642676,10.0417599642676,10.0417599642676,10.0417599642676
C34H70O5S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76872089001206,NA,1.76872089001206,1.76872089001206,1.76872089001206,1.76872089001206,1.76872089001206,1.76872089001206,1.76872089001206
C32H66O5S1,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,NA,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564,2.13434522738564
C33H68O5S1,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,NA,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794,0.0609291338503794
C34H66O6S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744187655786207,NA,0.744187655786207,NA,NA,0.744187655786207,0.744187655786207,0.744187655786207,0.744187655786207
C32H64O7S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145254838501505,0.145254838501505,0.145254838501505,0.145254838501505,0.145254838501505,0.145254838501505,0.145254838501505,0.145254838501505,0.145254838501505
C32H62O6S1,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,NA,NA,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,NA,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901,1.65559841546901
C33H64O6S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.197815811356297,-0.197815811356297,-0.197815811356297,-0.197815811356297,-0.197815811356297,-0.197815811356297,-0.197815811356297,-0.197815811356297,-0.197815811356297
C32H64O6S1,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,NA,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639,1.84208267468639
C39H47O8N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2915039403292,23.2915039403292,23.2915039403292,23.2915039403292,23.2915039403292,NA,23.2915039403292,23.2915039403292
C40H49O8N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3419717367741,18.3419717367741,18.3419717367741,18.3419717367741,18.3419717367741,18.3419717367741,18.3419717367741
