,s20230901010,s20230901011,s20230901012,s20230901013,s20230901014,s20230901015,s20230901016,s20230901017,s20230901018,s20230901043,s20230901044,s20230901045,s20230901046,s20230901047,s20230901048,s20230901049,s20230901050,s20230901051,s20230901070,s20230901071,s20230901072,s20230901073,s20230901074,s20230901076,s20230901077
c972d045bf758598b970c537c173b4dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04327372044112,NA,NA,NA,NA,NA
6a46ee7ec1a8fa4c955feddec19b1773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87938661054549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b29988c04542cd482f19f2c2b5133ba5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983440356464171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cf488d8607d29b275a6fe66993d49c36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41880342547252,NA,NA,NA,NA,NA,NA,1.41880342547252,NA,NA,NA,NA,NA,NA
53040ae7f04328e99f0fb42b8dda6140,2.15517449616058,NA,2.15517449616058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0648cab32a0d69160670bbe78a5126ac,NA,NA,NA,NA,1.79315055307172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51e401f764139a7f6b180d098236afd7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27431453604558,2.27431453604558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c9b3fb9daf1350e866132a6651621ea8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35141759847959,NA,NA,NA,NA,NA,NA,NA,NA
f9c50b8516a036eae0f64f0bd190115f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63656714120029,NA,1.63656714120029,NA,NA,NA,NA,NA,NA,NA
00de18386af8215012d546ccb03a69c3,NA,NA,NA,NA,NA,NA,2.31937201276422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
