,s20230901019,s20230901020,s20230901021,s20230901022,s20230901023,s20230901024,s20230901025,s20230901026,s20230901027,s20230901028,s20230901029,s20230901030,s20230901031,s20230901032,s20230901033,s20230901052,s20230901053,s20230901054,s20230901055,s20230901056,s20230901057,s20230901058,s20230901059,s20230901060,s20230901079,s20230901080,s20230901084,s20230901085,s20230901086,s20230901087
2034c1da32f000249ac067cfdec91947,NA,NA,NA,NA,NA,NA,1.58726003335364,NA,NA,NA,NA,NA,NA,1.58726003335364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49e02eb0149809acab12778be7afc02b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.658718487908033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f6eb5e21bf231e32f8ca0101fa1d648f,NA,0.767263732868594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53040ae7f04328e99f0fb42b8dda6140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.784983338188785,NA,NA,NA,NA,0.784983338188785
51e401f764139a7f6b180d098236afd7,NA,NA,NA,NA,NA,1.17865606689281,1.17865606689282,1.17865606689281,NA,NA,NA,NA,NA,1.17865606689281,NA,NA,NA,NA,NA,1.17865606689282,NA,1.17865606689281,NA,NA,NA,NA,NA,NA,NA,NA
f86eaeb7e171ae74a57e60dd20234b48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05825812069823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d781f065da63869991df9f890ee1266d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70874759014465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55364e11bb034de10349380454f11444,NA,NA,NA,NA,1.2166914235139,NA,NA,NA,NA,NA,1.2166914235139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2166914235139,NA,NA,NA
c9b3fb9daf1350e866132a6651621ea8,0.365114662560006,NA,0.365114662560006,NA,NA,NA,NA,0.365114662560006,0.365114662560005,NA,NA,0.365114662560006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365114662560005,NA,0.365114662560007
f9c50b8516a036eae0f64f0bd190115f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06269352918375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06269352918375,NA,NA
bbccc1d99cb5eb05ebce666d16b2a0ef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09747032126951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13a2a04ca390fc21dcf8b502ec1bc2f3,NA,1.01518541771671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25dbb9c90b5acd6ab287bd1372c356fd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30973176173453,NA,NA,NA,NA,NA,NA,4.30973176173454,NA,NA,NA,NA,NA,NA
841104c7fec98c814d06d97bf21f4c4b,NA,NA,4.34471748247545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d27d1cb0244e4d7ecfbadaa6a3f30960,NA,NA,NA,NA,NA,3.61160754803464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7981743db68fa04582bba9f07212e7db,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35382486276029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69ffdcc1623e9845e2fbb542422b6bcd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0802408581167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bcc8d984ffc8674add9adfe710459c17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99228483392035,NA,NA,NA,NA,NA,NA
28fa5e90442d49bb54808f5b118ba62a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6051397195783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a9cb21d80a3683c06b3048d70d847ad2,NA,NA,NA,NA,NA,1.62418320363347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684c870e5f28b1a97bd0590b556e02c4,NA,NA,NA,NA,NA,1.42641309298348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
