,s20230901010,s20230901011,s20230901012,s20230901013,s20230901014,s20230901015,s20230901016,s20230901017,s20230901018,s20230901043,s20230901044,s20230901045,s20230901046,s20230901047,s20230901048,s20230901049,s20230901050,s20230901051,s20230901070,s20230901071,s20230901072,s20230901073,s20230901074,s20230901075,s20230901076,s20230901077,s20230901078
C49H42O5N2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0452539085057,17.0452539085057,17.0452539085057,17.0452539085057,17.0452539085057,17.0452539085057,17.0452539085057,17.0452539085057,17.0452539085057,17.0452539085057,NA,17.0452539085057,17.0452539085057,NA,17.0452539085057,NA,17.0452539085057
C48H40O4N2,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.793657042986,25.793657042986,25.793657042986,25.793657042986,25.793657042986,25.793657042986,25.793657042986,25.793657042986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C49H42O3N2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.03454146144052,7.03454146144052,7.03454146144052,7.03454146144052,7.03454146144052,7.03454146144052,7.03454146144052,7.03454146144052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C31H20O6,12.3099891540608,12.3099891540608,NA,12.3099891540608,12.3099891540608,NA,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,NA,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608,12.3099891540608
C32H20O6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63752067185296,2.63752067185296,2.63752067185296,2.63752067185296,2.63752067185296,NA,2.63752067185296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C36H32O6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25307849550602,5.25307849550602,NA,5.25307849550602,5.25307849550602,5.25307849550602,NA,5.25307849550602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C36H32O4,4.24109686361373,NA,NA,4.24109686361373,4.24109686361373,NA,4.24109686361373,4.24109686361373,4.24109686361373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C35H26O7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.79612396214833,7.79612396214833,NA,7.79612396214833,7.79612396214833,7.79612396214833,NA,7.79612396214833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C34H28O5,8.21555380686323,8.21555380686323,NA,8.21555380686323,8.21555380686323,NA,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,NA,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323,8.21555380686323
C34H28O6,5.04347467153656,NA,NA,5.04347467153656,5.04347467153656,NA,5.04347467153656,5.04347467153656,5.04347467153656,5.04347467153656,5.04347467153656,5.04347467153656,5.04347467153656,5.04347467153656,5.04347467153656,5.04347467153656,5.04347467153656,5.04347467153656,5.04347467153656,5.04347467153656,NA,NA,5.04347467153656,5.04347467153656,NA,5.04347467153656,5.04347467153656
C34H26O7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79207656114155,8.79207656114155,8.79207656114155,8.79207656114155,8.79207656114155,NA,NA,8.79207656114155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C35H28O7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75464401249007,3.75464401249007,NA,3.75464401249007,3.75464401249007,3.75464401249007,3.75464401249007,3.75464401249007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C34H26O4,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.930379438431,10.930379438431,10.930379438431,10.930379438431,10.930379438431,10.930379438431,NA,10.930379438431,NA,NA,NA,10.930379438431,NA,10.930379438431,10.930379438431,10.930379438431,10.930379438431,10.930379438431
C38H21O1N1P2,19.6429081968761,19.6429081968761,NA,19.6429081968761,19.6429081968761,NA,19.6429081968761,19.6429081968761,19.6429081968761,19.6429081968761,19.6429081968761,19.6429081968761,NA,19.6429081968761,NA,19.6429081968761,19.6429081968761,NA,19.6429081968761,19.6429081968761,NA,19.6429081968761,19.6429081968761,19.6429081968761,19.6429081968761,19.6429081968761,19.6429081968761
C39H23O1N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8613114348402,6.8613114348402,6.8613114348402,NA,NA,NA,6.8613114348402,6.8613114348402,6.8613114348402,6.8613114348402,6.8613114348402,NA,6.8613114348402,6.8613114348402,NA,6.8613114348402,NA,6.8613114348402
C38H19O2N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.92722325675282,9.92722325675282,9.92722325675282,NA,9.92722325675282,NA,9.92722325675282,9.92722325675282,9.92722325675282,9.92722325675282,9.92722325675282,NA,9.92722325675282,9.92722325675282,9.92722325675282,9.92722325675282,9.92722325675282,9.92722325675282
C34H17O1N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38802430648794,7.38802430648794,NA,7.38802430648794,7.38802430648794,NA,7.38802430648794,7.38802430648794,7.38802430648794
C34H15O1N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7309420874144,8.7309420874144,NA,8.7309420874144,8.7309420874144,NA,8.7309420874144,8.7309420874144,8.7309420874144
C28H58O5S1,14.5406145361304,14.5406145361304,14.5406145361304,14.5406145361304,14.5406145361304,NA,NA,14.5406145361304,14.5406145361304,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5406145361304,14.5406145361304,NA,14.5406145361304,14.5406145361304,14.5406145361304,14.5406145361304,14.5406145361304,NA
C34H67O5N1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.56284950662775,7.56284950662775,7.56284950662775,7.56284950662775,7.56284950662775,7.56284950662775,7.56284950662775,7.56284950662775,7.56284950662775,7.56284950662775,7.56284950662775,NA,7.56284950662775,7.56284950662775,7.56284950662775,7.56284950662775,7.56284950662775,7.56284950662775
C33H67O6N1S1,10.0614610877163,NA,NA,10.0614610877163,10.0614610877163,NA,10.0614610877163,10.0614610877163,10.0614610877163,NA,10.0614610877163,10.0614610877163,10.0614610877163,10.0614610877163,10.0614610877163,10.0614610877163,10.0614610877163,10.0614610877163,10.0614610877163,10.0614610877163,NA,10.0614610877163,10.0614610877163,NA,10.0614610877163,10.0614610877163,10.0614610877163
C32H66O5S1,8.38863400355316,8.38863400355316,8.38863400355316,8.38863400355316,8.38863400355316,NA,NA,8.38863400355316,8.38863400355316,8.38863400355316,8.38863400355316,8.38863400355316,8.38863400355316,8.38863400355316,8.38863400355316,8.38863400355316,8.38863400355316,8.38863400355316,NA,NA,NA,NA,NA,NA,NA,NA,NA
C33H68O5S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.99593378759105,6.99593378759105,6.99593378759105,6.99593378759105,6.99593378759105,6.99593378759105,6.99593378759105,6.99593378759105,NA,NA,NA,6.99593378759105,6.99593378759105,6.99593378759105,6.99593378759105,6.99593378759105
C32H64O7S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.494153166791,1.494153166791,NA,NA,1.494153166791,1.494153166791,1.494153166791,1.494153166791,1.494153166791
C32H62O6S1,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,NA,NA,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,NA,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257,10.2416598117257
C33H64O6S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52896103734573,2.52896103734573,NA,NA,2.52896103734573,2.52896103734573,2.52896103734573,2.52896103734573,2.52896103734573,2.52896103734573,NA,2.52896103734573,2.52896103734573,2.52896103734573,2.52896103734573,2.52896103734573,2.52896103734573
C32H64O6S1,11.9177675806349,11.9177675806349,NA,11.9177675806349,11.9177675806349,NA,11.9177675806349,11.9177675806349,11.9177675806349,11.9177675806349,NA,11.9177675806349,11.9177675806349,11.9177675806349,11.9177675806349,11.9177675806349,11.9177675806349,11.9177675806349,11.9177675806349,11.9177675806349,NA,11.9177675806349,11.9177675806349,11.9177675806349,11.9177675806349,11.9177675806349,11.9177675806349
C39H47O8N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54756359175334,6.54756359175334,6.54756359175334,6.54756359175334,6.54756359175334,6.54756359175334,6.54756359175334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C40H49O8N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3818280877282,7.3818280877282,7.3818280877282,NA,7.3818280877282,NA,NA,7.3818280877282,7.3818280877282,NA,NA,NA,NA,NA,NA,NA,NA,NA
C38H49O8N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.64981433735549,9.64981433735549,9.64981433735549,9.64981433735549,9.64981433735549,9.64981433735549,9.64981433735549,9.64981433735549,NA,9.64981433735549,9.64981433735549,NA,9.64981433735549,9.64981433735549,NA,9.64981433735549,NA,9.64981433735549
C38H49O6N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3738932844822,21.3738932844822,21.3738932844822,21.3738932844822,21.3738932844822,NA,21.3738932844822,21.3738932844822,21.3738932844822,21.3738932844822,NA,NA,21.3738932844822,21.3738932844822,NA,21.3738932844822,21.3738932844822,21.3738932844822
C37H45O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9940780572293,11.9940780572293,11.9940780572293,NA,NA,11.9940780572293,11.9940780572293,11.9940780572293,11.9940780572293,11.9940780572293,11.9940780572293,NA,11.9940780572293,11.9940780572293,NA,11.9940780572293,NA,11.9940780572293
C39H51O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3974304329083,10.3974304329083,NA,10.3974304329083,10.3974304329083,NA,NA,10.3974304329083,10.3974304329083
C38H47O8N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8161877985845,24.8161877985845,24.8161877985845,24.8161877985845,24.8161877985845,NA,24.8161877985845,24.8161877985845,24.8161877985845,24.8161877985845,24.8161877985845,NA,24.8161877985845,24.8161877985845,NA,24.8161877985845,24.8161877985845,24.8161877985845
C40H53O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81499097869492,6.81499097869492,6.81499097869492,6.81499097869492,6.81499097869492,NA,6.81499097869492,6.81499097869492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C40H49O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11066767531193,6.11066767531193,6.11066767531193,6.11066767531193,NA,NA,6.11066767531193,6.11066767531193,NA,6.11066767531193,6.11066767531193,NA,6.11066767531193,6.11066767531193,NA,6.11066767531193,6.11066767531193,6.11066767531193
C39H41O11N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.60240257142361,4.60240257142361,NA,4.60240257142361,4.60240257142361,NA,4.60240257142361,NA,4.60240257142361
C38H41O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21263332550199,8.21263332550199,NA,8.21263332550199,NA,NA,8.21263332550199,8.21263332550199,8.21263332550199
C38H41O10N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7393338318124,19.7393338318124,19.7393338318124,19.7393338318124,NA,NA,19.7393338318124,19.7393338318124,NA,NA,19.7393338318124,NA,19.7393338318124,19.7393338318124,NA,19.7393338318124,19.7393338318124,19.7393338318124
C37H39O10N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0599510526941,12.0599510526941,12.0599510526941,12.0599510526941,NA,NA,12.0599510526941,12.0599510526941,12.0599510526941,12.0599510526941,12.0599510526941,NA,12.0599510526941,12.0599510526941,NA,12.0599510526941,12.0599510526941,12.0599510526941
C40H45O10N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0139805159445,13.0139805159445,NA,13.0139805159445,13.0139805159445,NA,NA,13.0139805159445,13.0139805159445
C38H43O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3129676676349,14.3129676676349,14.3129676676349,14.3129676676349,14.3129676676349,14.3129676676349,14.3129676676349,14.3129676676349,14.3129676676349,14.3129676676349,NA,14.3129676676349,14.3129676676349,NA,14.3129676676349,14.3129676676349,14.3129676676349
C37H43O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6177174922397,19.6177174922397,19.6177174922397,19.6177174922397,19.6177174922397,19.6177174922397,19.6177174922397,19.6177174922397,19.6177174922397,19.6177174922397,19.6177174922397,NA,19.6177174922397,19.6177174922397,NA,19.6177174922397,19.6177174922397,19.6177174922397
C30H19O8N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0357856299952,16.0357856299952,16.0357856299952,NA,16.0357856299952,NA,16.0357856299952,16.0357856299952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C31H23O7N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5794451560522,18.5794451560522,NA,NA,18.5794451560522,NA,18.5794451560522,18.5794451560522,18.5794451560522
C36H27O13N2S1P1,7.4432572844461,7.4432572844461,NA,7.4432572844461,7.4432572844461,NA,7.4432572844461,7.4432572844461,7.4432572844461,7.4432572844461,7.4432572844461,7.4432572844461,NA,7.4432572844461,NA,7.4432572844461,7.4432572844461,7.4432572844461,7.4432572844461,7.4432572844461,NA,7.4432572844461,7.4432572844461,NA,7.4432572844461,NA,7.4432572844461
C37H29O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73721912812085,2.73721912812085,2.73721912812085,NA,NA,NA,2.73721912812085,2.73721912812085,2.73721912812085,NA,NA,NA,NA,NA,NA,NA,NA,NA
C34H25O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39616110305452,3.39616110305452,NA,3.39616110305452,3.39616110305452,NA,3.39616110305452,3.39616110305452,3.39616110305452
C35H29O14N2S1P1,8.86400843930371,8.86400843930371,NA,NA,8.86400843930371,NA,8.86400843930371,8.86400843930371,8.86400843930371,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.86400843930371,8.86400843930371,NA,8.86400843930371,8.86400843930371,NA,8.86400843930371,8.86400843930371,8.86400843930371
C33H27O13N2S1P1,15.9465106780165,15.9465106780165,NA,15.9465106780165,15.9465106780165,NA,15.9465106780165,15.9465106780165,15.9465106780165,15.9465106780165,15.9465106780165,15.9465106780165,NA,NA,NA,15.9465106780165,15.9465106780165,15.9465106780165,15.9465106780165,15.9465106780165,NA,15.9465106780165,15.9465106780165,15.9465106780165,15.9465106780165,15.9465106780165,15.9465106780165
C34H27O13N2S1P1,4.2810341727478,4.2810341727478,NA,NA,4.2810341727478,NA,4.2810341727478,4.2810341727478,4.2810341727478,4.2810341727478,4.2810341727478,4.2810341727478,NA,NA,NA,4.2810341727478,4.2810341727478,4.2810341727478,4.2810341727478,4.2810341727478,NA,4.2810341727478,4.2810341727478,NA,4.2810341727478,4.2810341727478,4.2810341727478
C35H29O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1500281147613,9.1500281147613,9.1500281147613,NA,NA,NA,9.1500281147613,9.1500281147613,9.1500281147613,9.1500281147613,9.1500281147613,NA,9.1500281147613,9.1500281147613,9.1500281147613,NA,9.1500281147613,9.1500281147613
C34H25O14N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.285412415919,NA,13.285412415919,13.285412415919,NA,13.285412415919,13.285412415919,13.285412415919
C31H21O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02533661167365,4.02533661167365,NA,4.02533661167365,4.02533661167365,NA,4.02533661167365,4.02533661167365,4.02533661167365
C32H25O11N2S1P1,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037,NA,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037,NA,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037,NA,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037,24.3477816206037
C39H39O10N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.509282893713,NA,13.509282893713,13.509282893713,NA,13.509282893713,13.509282893713,13.509282893713
C36H33O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83491727842168,4.83491727842168,NA,4.83491727842168,4.83491727842168,NA,4.83491727842168,4.83491727842168,4.83491727842168
C37H37O11N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85576745403933,5.85576745403933,NA,5.85576745403933,5.85576745403933,NA,NA,5.85576745403933,5.85576745403933
C38H35O11N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.22744183458,12.22744183458,NA,12.22744183458,12.22744183458,NA,12.22744183458,12.22744183458,NA
C37H31O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0363344266457,15.0363344266457,NA,NA,15.0363344266457,NA,15.0363344266457,15.0363344266457,15.0363344266457,15.0363344266457,15.0363344266457,NA,15.0363344266457,15.0363344266457,NA,15.0363344266457,15.0363344266457,15.0363344266457
C38H33O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0869028323178,11.0869028323178,NA,11.0869028323178,NA,11.0869028323178,11.0869028323178,11.0869028323178,11.0869028323178,11.0869028323178,NA,11.0869028323178,11.0869028323178,NA,11.0869028323178,11.0869028323178,11.0869028323178
C37H33O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.04109567912368,5.04109567912368,NA,5.04109567912368,5.04109567912368,NA,5.04109567912368,5.04109567912368,5.04109567912368
C36H33O14N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71401423874505,7.71401423874505,NA,NA,7.71401423874505,NA,7.71401423874505,7.71401423874505,7.71401423874505
C34H31O14N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84365588286829,3.84365588286829,NA,3.84365588286829,3.84365588286829,NA,NA,3.84365588286829,3.84365588286829
C36H33O13N2S1P1,6.7120627475901,6.7120627475901,NA,6.7120627475901,6.7120627475901,NA,6.7120627475901,6.7120627475901,6.7120627475901,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7120627475901,6.7120627475901,NA,6.7120627475901,6.7120627475901,NA,6.7120627475901,6.7120627475901,6.7120627475901
C32H27O12N2S1P1,8.59907726222828,NA,8.59907726222828,8.59907726222828,8.59907726222828,NA,8.59907726222828,8.59907726222828,8.59907726222828,8.59907726222828,8.59907726222828,8.59907726222828,NA,8.59907726222828,NA,8.59907726222828,NA,8.59907726222828,8.59907726222828,8.59907726222828,NA,8.59907726222828,8.59907726222828,8.59907726222828,8.59907726222828,8.59907726222828,8.59907726222828
C34H31O12N2S1P1,NA,10.4949670094298,NA,10.4949670094298,10.4949670094298,NA,10.4949670094298,10.4949670094298,10.4949670094298,10.4949670094298,10.4949670094298,10.4949670094298,NA,10.4949670094298,NA,10.4949670094298,NA,10.4949670094298,10.4949670094298,10.4949670094298,NA,10.4949670094298,10.4949670094298,10.4949670094298,10.4949670094298,10.4949670094298,10.4949670094298
C35H31O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06749207092556,7.06749207092556,7.06749207092556,NA,7.06749207092556,NA,7.06749207092556,7.06749207092556,7.06749207092556,7.06749207092556,7.06749207092556,NA,7.06749207092556,7.06749207092556,7.06749207092556,7.06749207092556,7.06749207092556,7.06749207092556
C35H35O11N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57858344720458,6.57858344720458,6.57858344720458,NA,6.57858344720458,NA,6.57858344720458,6.57858344720458,NA,6.57858344720458,6.57858344720458,NA,6.57858344720458,6.57858344720458,NA,6.57858344720458,6.57858344720458,6.57858344720458
C37H41O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.84904894800218,NA,9.84904894800218,9.84904894800218,NA,9.84904894800218,9.84904894800218,9.84904894800218
C35H35O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.07893366733171,9.07893366733171,NA,9.07893366733171,9.07893366733171,NA,9.07893366733171,9.07893366733171,9.07893366733171
C29H27O12N2S1P1,18.878036636146,18.878036636146,NA,NA,18.878036636146,NA,18.878036636146,18.878036636146,18.878036636146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23H24O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26556676937627,6.26556676937627,6.26556676937627,6.26556676937627,6.26556676937627,6.26556676937627,6.26556676937627,6.26556676937627,6.26556676937627,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24H26O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63178379183193,4.63178379183193,4.63178379183193,4.63178379183193,4.63178379183193,4.63178379183193,4.63178379183193,4.63178379183193,4.63178379183193,NA,NA,NA,NA,NA,NA,NA,NA,NA
C22H22O2N2S1P2,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,NA,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,10.4990173525192,NA,NA,10.4990173525192,10.4990173525192,NA,10.4990173525192,10.4990173525192,10.4990173525192
C22H20O3N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.61681491343306,7.61681491343306,7.61681491343306,7.61681491343306,7.61681491343306,7.61681491343306,NA,7.61681491343306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24H24O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75543118699272,4.75543118699272,4.75543118699272,NA,4.75543118699272,4.75543118699272,NA,4.75543118699272,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27H34O6N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44205695037644,2.44205695037644,2.44205695037644,2.44205695037644,2.44205695037644,2.44205695037644,2.44205695037644,2.44205695037644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29H36O6N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33198956924713,4.33198956924713,4.33198956924713,4.33198956924713,4.33198956924713,4.33198956924713,4.33198956924713,4.33198956924713,4.33198956924713,NA,4.33198956924713,NA,4.33198956924713,4.33198956924713,4.33198956924713,4.33198956924713,4.33198956924713,4.33198956924713
C29H36O5N2S1P2,6.91834385902625,NA,NA,6.91834385902625,6.91834385902625,NA,6.91834385902625,6.91834385902625,6.91834385902625,6.91834385902625,6.91834385902625,6.91834385902625,6.91834385902625,6.91834385902625,6.91834385902625,6.91834385902625,6.91834385902625,6.91834385902625,6.91834385902625,6.91834385902625,NA,6.91834385902625,6.91834385902625,6.91834385902625,NA,6.91834385902625,NA
C26H30O5N2S1P2,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,NA,NA,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,22.8637725470451,NA,22.8637725470451,22.8637725470451,22.8637725470451,NA,22.8637725470451,22.8637725470451
C26H28O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68747780449729,5.68747780449729,5.68747780449729,5.68747780449729,5.68747780449729,5.68747780449729,5.68747780449729,NA,5.68747780449729,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27H30O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32030287541078,3.32030287541078,3.32030287541078,3.32030287541078,3.32030287541078,3.32030287541078,3.32030287541078,3.32030287541078,3.32030287541078,3.32030287541078,3.32030287541078,NA,3.32030287541078,3.32030287541078,NA,3.32030287541078,3.32030287541078,NA
C29H34O4N2S1P2,14.8885662922037,14.8885662922037,NA,14.8885662922037,14.8885662922037,NA,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,NA,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037,14.8885662922037
C28H30O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02169467467608,2.02169467467608,2.02169467467608,2.02169467467608,2.02169467467608,NA,NA,2.02169467467608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24H28O6N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43783510744337,3.43783510744337,3.43783510744337,3.43783510744337,NA,3.43783510744337,3.43783510744337,NA,3.43783510744337,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25H30O6N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.76155122948681,8.76155122948681,8.76155122948681,8.76155122948681,NA,8.76155122948681,8.76155122948681,8.76155122948681,8.76155122948681,NA,NA,NA,NA,NA,NA,NA,NA,NA
