SampleID,region,site,transect,tree_number,horizon
COMPASS.Dec2021.077,WLE,OWC,transition,127,A
COMPASS.Dec2021.078,WLE,OWC,transition,128,A
COMPASS.Dec2021.079,WLE,OWC,wetland/wetland-transition edge,W1,A
COMPASS.Dec2021.080,WLE,OWC,wetland/wetland-transition edge,W2,A
COMPASS.Dec2021.081,WLE,OWC,wetland/wetland-transition edge,W3,A
COMPASS.Dec2021.082,WLE,OWC,wetland/wetland-transition edge,W4,A
COMPASS.Dec2021.083,WLE,OWC,wetland/wetland-transition edge,W5,A
COMPASS.Dec2021.084,WLE,OWC,wetland/wetland-transition edge,W6,A
COMPASS.Dec2021.085,WLE,OWC,wetland/wetland-transition edge,W7,A
COMPASS.Dec2021.086,WLE,OWC,wetland/wetland-transition edge,W8,A
COMPASS.Dec2021.087,WLE,OWC,wetland/wetland-transition edge,W9,A
COMPASS.Dec2021.088,WLE,OWC,wetland/wetland-transition edge,WC1,A
COMPASS.Dec2021.089,WLE,OWC,wetland/wetland-transition edge,WC2,A
COMPASS.Dec2021.090,WLE,OWC,wetland/wetland-transition edge,WC3,A
COMPASS.Dec2021.091,WLE,OWC,wetland/wetland-transition edge,WC4,A
COMPASS.Dec2021.092,WLE,OWC,wetland/wetland-transition edge,WC5,A
COMPASS.Dec2021.093,WLE,OWC,wetland/wetland-transition edge,WC6,A
COMPASS.Dec2021.094,WLE,OWC,wetland/wetland-transition edge,WC7,A
COMPASS.Dec2021.095,WLE,OWC,wetland/wetland-transition edge,WC8,A
COMPASS.Dec2021.096,WLE,PR,upland,1,B
COMPASS.Dec2021.097,WLE,PR,upland,2,B
COMPASS.Dec2021.098,WLE,PR,upland,3,B
COMPASS.Dec2021.099,WLE,PR,upland,4,B
COMPASS.Dec2021.100,WLE,PR,upland,5,B
COMPASS.Dec2021.101,WLE,PR,upland,6,B
COMPASS.Dec2021.102,WLE,PR,upland,7,B
COMPASS.Dec2021.103,WLE,PR,upland,8,B
COMPASS.Dec2021.104,WLE,PR,transition,11,B
COMPASS.Dec2021.105,WLE,PR,transition,12,B
COMPASS.Dec2021.106,WLE,CC,upland,202,B
COMPASS.Dec2021.107,WLE,OWC,upland,101,B
COMPASS.Dec2021.108,WLE,OWC,upland,105,B
COMPASS.Dec2021.109,WLE,OWC,upland,106,B
COMPASS.Dec2021.110,WLE,OWC,upland,107,B
COMPASS.Dec2021.111,WLE,OWC,upland,108,B
COMPASS.Dec2021.112,WLE,OWC,transition,120,B
COMPASS.Dec2021.113,WLE,OWC,transition,121,B
COMPASS.Dec2021.114,WLE,OWC,transition,122,B
COMPASS.Dec2021.115,WLE,OWC,transition,123,B
COMPASS.Dec2021.116,WLE,OWC,transition,124,B
COMPASS.Dec2021.117,WLE,OWC,transition,125,B
COMPASS.Dec2021.118,WLE,OWC,transition,126,B
COMPASS.Dec2021.119,WLE,OWC,transition,127,B
COMPASS.Dec2021.120,WLE,OWC,transition,128,B
