,s20230217014,s20230217015,s20230217016,s20230217017,s20230217018,s20230217019,s20230217020,s20230217021,s20230217022,s20230217054,s20230217055,s20230217056,s20230217057,s20230217058,s20230217059,s20230217060,s20230217061,s20230217095,s20230217097,s20230217098,s20230217099,s20230217100,s20230217101,s20230217102,s20230217103
C22H24O5P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6849963899569,NA,16.6849963899569,16.6849963899569,NA,16.6849963899569,16.6849963899569
C23H22O5P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8321456762211,17.8321456762211,17.8321456762211,17.8321456762211,17.8321456762211,17.8321456762211,17.8321456762211
C22H20O5P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4495940624266,17.4495940624266,17.4495940624266,17.4495940624266,17.4495940624266,17.4495940624266
C13H7O12N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8134670664989,11.8134670664989,11.8134670664989,11.8134670664989,11.8134670664989,11.8134670664989,11.8134670664989,11.8134670664989
C19H9O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5099178620625,28.5099178620625,28.5099178620625,28.5099178620625,28.5099178620625,28.5099178620625,28.5099178620625,28.5099178620625
C20H11O6N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4400593113885,12.4400593113885,12.4400593113885,12.4400593113885,12.4400593113885,12.4400593113885,12.4400593113885
C18H9O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4686973056419,14.4686973056419,14.4686973056419,14.4686973056419,14.4686973056419,14.4686973056419
C19H11O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3135918339147,NA,NA,NA,NA,NA,NA,NA
C18H11O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.0826152365498,32.0826152365498,32.0826152365498,32.0826152365498,32.0826152365498,32.0826152365498,NA
C17H9O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.0293153311671,47.0293153311671,47.0293153311671,47.0293153311671,47.0293153311671,47.0293153311671,47.0293153311671,47.0293153311671
C18H9O4N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6262342234094,27.6262342234094,27.6262342234094,27.6262342234094,27.6262342234094,27.6262342234094,27.6262342234094
C21H13O6N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9951185734066,10.9951185734066,10.9951185734066,10.9951185734066,10.9951185734066,10.9951185734066
C20H13O6N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3067779985474,34.3067779985474,NA,34.3067779985474,34.3067779985474,34.3067779985474,34.3067779985474
C13H9O1N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2601950912277,NA,16.2601950912277,16.2601950912277,16.2601950912277,16.2601950912277,16.2601950912277,16.2601950912277
C14H11O1N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3895344738801,13.3895344738801,13.3895344738801,NA,13.3895344738801,13.3895344738801,13.3895344738801,13.3895344738801
C15H11O2N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1949207510013,12.1949207510013,12.1949207510013,NA,12.1949207510013,12.1949207510013,12.1949207510013,12.1949207510013
