,s20230217007,s20230217008,s20230217009,s20230217010,s20230217011,s20230217012,s20230217013,s20230217031,s20230217032,s20230217033,s20230217034,s20230217035,s20230217036,s20230217037,s20230217046,s20230217047,s20230217048,s20230217049,s20230217050,s20230217051,s20230217052,s20230217053,s20230217070,s20230217071,s20230217072,s20230217073,s20230217074,s20230217075,s20230217076,s20230217087,s20230217088,s20230217089,s20230217090,s20230217091,s20230217092,s20230217093,s20230217094,s20230217112,s20230217113,s20230217114,s20230217115,s20230217116,s20230217117,s20230217118,s20230217119
18f022c3f71e4875c36e60d912c95b4c,NA,NA,NA,NA,NA,NA,NA,NA,0.989244515732559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f627f13cba93f9f27520e4de0042b26f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49544080751084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43b72282cb1891f4c57e634d525886f1,NA,NA,NA,NA,NA,NA,NA,1.20060429996464,1.20060429996464,NA,NA,1.20060429996464,1.20060429996464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46b60a1b28fd1f11c3e32ae36646e785,NA,NA,NA,NA,NA,NA,NA,1.67731722870538,1.67731722870538,1.67731722870538,1.67731722870538,1.67731722870538,1.67731722870538,1.67731722870538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67731722870538,NA,NA,NA,NA
b190bec93f375d69ef598f8e6452bdd2,NA,NA,NA,NA,NA,NA,NA,1.6505400516877,1.6505400516877,NA,NA,1.6505400516877,1.6505400516877,1.6505400516877,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6505400516877,1.6505400516877,NA,1.6505400516877,1.6505400516877,1.65054005168769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6505400516877,1.6505400516877,NA,NA,NA
109cb027714d370eed920f4f00b84806,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02171896561041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac98be2c00f23325b65841295488e31e,NA,NA,NA,NA,NA,1.40075071015653,NA,NA,NA,1.40075071015653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40075071015653,1.40075071015653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cd1b05f9ddfa7dd8e0efd3c4e1906131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67593163608051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fca09ca2eef47eabd7e5b1a8df4bd60b,NA,NA,NA,NA,1.619525961096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71c366fccef7a232d16492dbce038ffa,NA,NA,0.501451701344745,NA,0.501451701344745,0.501451701344746,0.501451701344746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b5c82f91d7d32c771a163a2284c79067,NA,NA,NA,0.267781557169229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247a9f772182962c0f7fd6ea1f4439ac,NA,1.07058298978157,NA,NA,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,NA,NA,NA,NA,NA,NA,NA,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,1.07058298978157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9d0be1550425a59a5eef1eabb2b21545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.605598097515335,0.605598097515335,0.605598097515334,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.605598097515334,NA,0.605598097515334,0.605598097515335,0.605598097515335,NA,0.605598097515335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c7c3864c039e927b4530dd86958f97a9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375760208512958,0.375760208512957,0.375760208512958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d67672e91d6edc1affa7d37042e3cf98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483580536400561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4eaa443703b4c13a4ddf02ae7391434e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419208578572776,0.419208578572776,0.419208578572775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fdeff82e80ffa6081b47081805daf817,NA,0.742984283913119,NA,NA,NA,NA,0.742984283913118,NA,NA,NA,NA,NA,NA,0.742984283913117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
