,s20230217001,s20230217002,s20230217003,s20230217004,s20230217005,s20230217006,s20230217023,s20230217024,s20230217025,s20230217026,s20230217027,s20230217028,s20230217029,s20230217030,s20230217038,s20230217039,s20230217040,s20230217041,s20230217042,s20230217043,s20230217044,s20230217045,s20230217062,s20230217063,s20230217064,s20230217065,s20230217066,s20230217067,s20230217068,s20230217069,s20230217077,s20230217078,s20230217079,s20230217080,s20230217081,s20230217082,s20230217083,s20230217084,s20230217085,s20230217086,s20230217104,s20230217105,s20230217106,s20230217107,s20230217108,s20230217109,s20230217110,s20230217111
C40H41O11N2S1P1,10.1329271530978,10.1329271530978,NA,NA,10.1329271530978,NA,10.1329271530978,10.1329271530978,10.1329271530978,10.1329271530978,NA,10.1329271530978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1329271530978,10.1329271530978,10.1329271530978,10.1329271530978,NA,10.1329271530978,10.1329271530978
C35H33O13N2S1P1,18.1100293648034,18.1100293648034,NA,NA,18.1100293648034,NA,18.1100293648034,18.1100293648034,18.1100293648034,18.1100293648034,NA,18.1100293648034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25H25O6N2S1P1,NA,NA,9.35452624647782,9.35452624647782,NA,9.35452624647782,NA,NA,NA,NA,9.35452624647782,NA,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,NA,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,9.35452624647782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C39H66O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5591601347234,35.5591601347234,35.5591601347234,NA,35.5591601347234,35.5591601347234
C27H26O4N2S1P2,43.8678243883623,43.8678243883623,43.8678243883623,NA,43.8678243883623,NA,43.8678243883623,43.8678243883623,43.8678243883623,43.8678243883623,NA,43.8678243883623,43.8678243883623,43.8678243883623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27H22O6N2S1P2,19.5099434395038,19.5099434395038,NA,NA,NA,NA,19.5099434395038,19.5099434395038,19.5099434395038,19.5099434395038,NA,19.5099434395038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26H22O5N2S1P2,NA,NA,8.04867853602547,NA,NA,8.04867853602547,NA,NA,NA,NA,8.04867853602547,NA,8.04867853602547,8.04867853602547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.04867853602547,8.04867853602547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27H24O5N2S1P2,NA,NA,NA,NA,NA,NA,19.7041924892403,19.7041924892403,19.7041924892403,19.7041924892403,NA,19.7041924892403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26H22O4N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5330141211148,25.5330141211148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25H22O4N2S1P2,NA,NA,16.1862376966558,16.1862376966558,NA,16.1862376966558,NA,NA,NA,NA,16.1862376966558,NA,16.1862376966558,16.1862376966558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1862376966558,16.1862376966558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26H24O4N2S1P2,NA,NA,4.95619096045945,4.95619096045945,NA,4.95619096045945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26H20O1N2S1P2,14.3844077627108,14.3844077627108,NA,14.3844077627108,14.3844077627108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24H18O1N2S1P2,23.3934398244026,23.3934398244026,23.3934398244026,23.3934398244026,23.3934398244026,23.3934398244026,NA,23.3934398244026,23.3934398244026,23.3934398244026,NA,23.3934398244026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24H14O1N2S1P2,10.8621274124649,10.8621274124649,10.8621274124649,NA,10.8621274124649,10.8621274124649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26H18O2N2S1P2,19.2016289994459,19.2016289994459,19.2016289994459,19.2016289994459,NA,NA,19.2016289994459,19.2016289994459,19.2016289994459,19.2016289994459,NA,19.2016289994459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25H18O1N2S1P2,6.18414152769062,6.18414152769062,6.18414152769062,6.18414152769062,NA,6.18414152769062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27H26O6N2S1P2,NA,NA,20.7903922955171,NA,NA,NA,20.7903922955171,20.7903922955171,20.7903922955171,20.7903922955171,NA,20.7903922955171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7903922955171,20.7903922955171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26H30O21N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5224567465134,23.5224567465134,23.5224567465134,23.5224567465134,NA,NA,23.5224567465134
C26H32O20N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.1838188801845,30.1838188801845,30.1838188801845,30.1838188801845,NA,30.1838188801845,30.1838188801845
C24H26O4P2,8.68526584248425,8.68526584248425,NA,NA,8.68526584248425,NA,8.68526584248425,8.68526584248425,8.68526584248425,8.68526584248425,NA,8.68526584248425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.68526584248425,NA,8.68526584248425,NA,NA,NA,NA,8.68526584248425,NA,8.68526584248425,8.68526584248425,8.68526584248425,8.68526584248425,NA,8.68526584248425,8.68526584248425
C26H26O4P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2375685012235,NA,NA
C23H16O6P2,NA,NA,NA,NA,NA,8.92257464305632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24H28O5P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2715190365623,NA,21.2715190365623,NA,NA,NA,NA,21.2715190365623,NA,NA,NA,NA,NA,21.2715190365623,NA,NA
C22H24O5P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09462534086318,NA,NA
