,s20230217014,s20230217015,s20230217016,s20230217017,s20230217018,s20230217019,s20230217020,s20230217021,s20230217022,s20230217054,s20230217055,s20230217056,s20230217057,s20230217058,s20230217059,s20230217060,s20230217061,s20230217095,s20230217097,s20230217098,s20230217099,s20230217100,s20230217101,s20230217102,s20230217103
ee3950d5ca46787c97f0e3cce5e1db6d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81404707654718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cae3c762c91947d8a243ea99dbdff2e9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32086869724892,NA,NA,NA,NA,NA,NA
109cb027714d370eed920f4f00b84806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19309098702694,NA
11a53b60bbe0bd7821bbca2803855263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.843687804498076,NA,NA,0.843687804498076
ac98be2c00f23325b65841295488e31e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.862557933965965,NA,NA,NA,NA,NA,NA,NA,NA,NA
0b29f1dcaaa85c456b0fb4f68de4ef56,NA,NA,NA,NA,NA,0.711978559314786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d0e091221467f36e50edabaf64509ddd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.944400999978342,NA,NA,0.944400999978344,NA,NA,NA,NA,NA,NA,NA,NA
61bec6bb046eba22afad153577019280,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.112810998636668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
868dcc70aca2166826744ff270d312b8,NA,NA,NA,NA,NA,NA,NA,NA,-0.352277213967305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74cbc47febfc48492fcb6edaea5fd5f2,NA,NA,-0.0481029637100317,NA,-0.0481029637100315,-0.0481029637100319,-0.0481029637100315,-0.0481029637100313,-0.0481029637100316,NA,NA,-0.0481029637100308,NA,NA,NA,NA,NA,NA,-0.048102963710031,NA,NA,NA,NA,NA,NA
c90da154752af5d6b00b13a693da08a5,NA,NA,NA,-0.386979440453042,NA,NA,NA,NA,NA,NA,NA,NA,-0.386979440453042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cd1b05f9ddfa7dd8e0efd3c4e1906131,-0.0929994298832502,-0.09299942988325,-0.0929994298832502,NA,-0.09299942988325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0929994298832497,NA,-0.0929994298832502,-0.0929994298832501
7609680f9e03df3b8d35bdcbdc3d496a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.578653907842297,NA,NA,NA,NA,NA,NA
5436144b5d3361cc3cab82a0fc42be8c,NA,NA,NA,NA,NA,-0.224648768763729,-0.224648768763729,-0.224648768763729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd4c7efcdee4f8b9a73b8ac64e4596b4,NA,NA,NA,NA,NA,NA,0.143060852832517,0.143060852832517,0.143060852832517,NA,NA,NA,NA,NA,NA,NA,0.143060852832517,NA,0.143060852832517,NA,NA,NA,NA,NA,NA
a52250e7424db70b40917bb0a295e3d7,NA,NA,NA,NA,NA,-0.198328121315707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314771706b104e90bbcdf5b0d31a92de,NA,NA,NA,NA,NA,NA,NA,NA,-0.132479509350005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205e54155daf3c3b3e67080d3d7cfaf8,NA,NA,NA,NA,NA,NA,NA,-0.0999827812324668,-0.0999827812324669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29d2e42fb75c3e579ea3390d1fb6f8dc,NA,NA,NA,NA,NA,NA,NA,0.494255481081921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cae097887ae86f492b4e934686c290d5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0153879548541471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28be2bb638b29190b028f75be3bf5b84,NA,NA,NA,NA,NA,NA,NA,-0.827103512716989,NA,-0.827103512716989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247a9f772182962c0f7fd6ea1f4439ac,NA,0.10280146597854,NA,NA,0.10280146597854,NA,0.102801465978539,0.102801465978539,NA,0.10280146597854,0.102801465978539,0.102801465978539,NA,0.102801465978539,0.102801465978539,0.102801465978539,0.102801465978539,0.102801465978539,0.102801465978539,0.102801465978539,0.102801465978539,0.10280146597854,NA,0.10280146597854,0.102801465978539
9d0be1550425a59a5eef1eabb2b21545,NA,-0.482686035252531,NA,NA,-0.48268603525253,NA,-0.48268603525253,-0.482686035252531,NA,-0.482686035252531,-0.482686035252531,-0.482686035252531,NA,NA,-0.482686035252531,-0.482686035252531,-0.482686035252531,NA,NA,NA,NA,NA,NA,-0.482686035252531,-0.482686035252531
d67672e91d6edc1affa7d37042e3cf98,NA,NA,NA,NA,NA,NA,-0.645529981520597,-0.645529981520598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
667605f842d37ed2804570248f8ac137,NA,NA,NA,NA,NA,NA,-0.469560309223981,-0.469560309223981,-0.469560309223981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6af70a69cd0b228a72d445d18296c771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.647426981325869,NA,NA,NA,NA,NA,NA
6723444b1e3a07b2778a18266ffb0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.853028596695342,NA,NA,NA,NA,NA,NA,NA
12ca34370407d24bf39125946805fed1,NA,NA,NA,NA,-0.540595568954189,NA,NA,-0.540595568954189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b0fc89fb844de9722f2a7ecea51e223e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.861924378811553,NA,NA,NA,NA,NA,NA,NA
a5008d4472af1a4282fbded64a411d82,NA,NA,NA,NA,-0.469348407041137,NA,-0.469348407041137,-0.469348407041136,NA,-0.469348407041137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
