,s20230217007,s20230217008,s20230217009,s20230217010,s20230217011,s20230217012,s20230217013,s20230217031,s20230217032,s20230217033,s20230217035,s20230217036,s20230217037,s20230217046,s20230217047,s20230217048,s20230217049,s20230217050,s20230217051,s20230217052,s20230217053,s20230217070,s20230217071,s20230217072,s20230217073,s20230217074,s20230217075,s20230217076,s20230217087,s20230217088,s20230217089,s20230217090,s20230217091,s20230217092,s20230217093,s20230217094,s20230217112,s20230217113,s20230217114,s20230217115,s20230217116,s20230217118,s20230217119
C35H21O1N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8221093288206,15.8221093288206,15.8221093288206,NA,NA
C29H50O4S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.723477681992,23.723477681992,23.723477681992,NA,NA
C32H66O5S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25574015863905,NA,NA,NA,NA
C45H71O5N1,NA,15.6584065506151,NA,15.6584065506151,NA,NA,15.6584065506151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6584065506151,15.6584065506151,NA,NA,15.6584065506151,15.6584065506151,NA,NA,15.6584065506151,15.6584065506151,NA,NA,NA
C37H70O8N1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9500683574613,18.9500683574613,18.9500683574613,NA,NA
C37H55O3N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78145504316224,NA,8.78145504316224,NA,NA
C38H49O6N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87569942771274,6.87569942771274,NA,NA,NA
C37H45O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.79792645332224,6.79792645332224,NA,NA,NA
C31H43O7N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6757924881653,13.6757924881653,13.6757924881653,NA,NA
C33H31O5N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3245042012359,12.3245042012359,12.3245042012359,NA,NA
C36H45O5N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.43045667402326,5.43045667402326,5.43045667402326,NA,NA
C27H13O8N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4167128819013,6.4167128819013,6.4167128819013,NA,NA
C30H19O8N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.80025717341304,8.80025717341304,8.80025717341304,NA,NA
C30H19O7N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52735822326372,7.52735822326372,7.52735822326372,NA,NA
C33H25O6N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66274590574922,8.66274590574922,8.66274590574922,NA,NA
C35H29O14N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0557846269661,15.0557846269661,NA,NA,NA
C34H25O14N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66518710972595,4.66518710972595,NA,NA,4.66518710972595,4.66518710972595,NA,NA,4.66518710972595,NA,NA,NA,NA
C34H25O15N2S1P1,NA,7.71750237264183,7.71750237264183,7.71750237264183,NA,NA,7.71750237264183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71750237264183,7.71750237264183,NA,NA,7.71750237264183,7.71750237264183,7.71750237264183,7.71750237264183,NA,NA,7.71750237264183,NA,NA
C35H33O13N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21515321605604,3.21515321605604,3.21515321605604,NA,NA,3.21515321605604,3.21515321605604,NA,NA,NA,NA,NA,NA,NA
C25H25O6N2S1P1,15.7511218547432,NA,NA,NA,15.7511218547432,15.7511218547432,NA,15.7511218547432,15.7511218547432,15.7511218547432,15.7511218547432,15.7511218547432,15.7511218547432,15.7511218547432,15.7511218547432,15.7511218547432,15.7511218547432,15.7511218547432,15.7511218547432,15.7511218547432,15.7511218547432,NA,15.7511218547432,15.7511218547432,NA,15.7511218547432,15.7511218547432,15.7511218547432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C28H29O12N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.74791279076626,3.74791279076626,3.74791279076626,NA,NA
C28H27O9N2S1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.70374257066581,6.70374257066581,6.70374257066581,NA,NA
C28H48O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2207937039437,NA,NA,NA,NA
C32H52O6N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55633655063133,5.55633655063133,5.55633655063133,NA,NA
C33H50O1N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.25278941793189,9.25278941793189,9.25278941793189,NA,NA
C27H26O4N2S1P2,NA,11.4529203786235,11.4529203786235,11.4529203786235,NA,NA,11.4529203786235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27H22O6N2S1P2,NA,9.31949873728475,9.31949873728475,9.31949873728475,NA,NA,9.31949873728475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25H22O4N2S1P2,NA,4.91088132082741,4.91088132082741,4.91088132082741,NA,NA,4.91088132082741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26H20O1N2S1P2,NA,6.79258358947764,6.79258358947764,NA,NA,NA,6.79258358947764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24H18O1N2S1P2,8.47834156604738,8.47834156604738,8.47834156604738,8.47834156604738,NA,8.47834156604738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24H14O1N2S1P2,NA,13.4072544198612,13.4072544198612,13.4072544198612,NA,NA,13.4072544198612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25H18O1N2S1P2,11.3630730257645,NA,NA,NA,11.3630730257645,11.3630730257645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C20H18O1N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0278956391007,NA,NA,NA,14.0278956391007,14.0278956391007,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24H22O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.69625065367137,9.69625065367137,9.69625065367137,NA,NA
C27H34O6N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9435822304525,6.9435822304525,6.9435822304525,NA,NA
C29H36O6N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.22014215206502,9.22014215206502,9.22014215206502,NA,NA
C29H36O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.440180439563,10.440180439563,10.440180439563,NA,NA
C31H36O3N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28952374402694,6.28952374402694,6.28952374402694,NA,NA
C26H30O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.39303731229031,7.39303731229031,7.39303731229031,NA,NA
C27H32O4N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82107298075566,4.82107298075566,4.82107298075566,NA,NA
C27H30O5N2S1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.62215203150509,9.62215203150509,9.62215203150509,NA,NA
C23H40O12N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9871962814146,21.9871962814146,21.9871962814146,NA,NA
C22H26O19N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1546233929342,NA,7.1546233929342,NA,NA
C16H28O18N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8582772679378,37.8582772679378,37.8582772679378,NA,NA
C10H6O1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45832857944075,5.45832857944075,NA,NA,5.45832857944075,5.45832857944075,NA
C15H16O1P2,NA,NA,NA,NA,NA,NA,NA,13.1240240176862,13.1240240176862,13.1240240176862,NA,13.1240240176862,13.1240240176862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C13H12O1P2,NA,NA,NA,NA,NA,NA,NA,11.0947970009591,11.0947970009591,11.0947970009591,NA,11.0947970009591,11.0947970009591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C14H14O1P2,NA,NA,NA,NA,NA,NA,NA,9.84612150067673,9.84612150067673,9.84612150067673,NA,9.84612150067673,9.84612150067673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24H26O4P2,NA,6.564555512193,6.564555512193,6.564555512193,NA,NA,6.564555512193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.564555512193,6.564555512193,6.564555512193,NA,NA,6.564555512193,6.564555512193,NA,NA,NA,NA,6.564555512193,6.564555512193,NA
C23H16O6P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.72292907527312,NA,NA,NA,NA
C24H28O5P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.005212555149,22.005212555149,NA,NA,NA,22.005212555149,22.005212555149,NA,NA,NA,NA,NA,NA,NA
C23H22O5P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37733638507199,5.37733638507199,NA,NA,NA,5.37733638507199,5.37733638507199,NA,NA,NA,NA,NA,NA,NA
C22H20O5P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.17476743087933,7.17476743087933,NA,NA,NA,7.17476743087933,7.17476743087933,7.17476743087933,NA,NA,NA,7.17476743087933,7.17476743087933,NA
C24H25O12N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2190407820529,17.2190407820529,17.2190407820529,NA,NA
C25H44O2N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2817096163806,11.2817096163806,11.2817096163806,NA,NA
C22H26O3N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3650861109897,13.3650861109897,13.3650861109897,NA,NA
C22H24O4N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25546097263413,6.25546097263413,6.25546097263413,NA,NA
C22H32O2N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5186885848746,20.5186885848746,20.5186885848746,NA,NA
C23H26O7N2P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1955691557401,13.1955691557401,13.1955691557401,NA,NA
C24H17O8N2P1,7.10566294192898,7.10566294192898,7.10566294192898,7.10566294192898,7.10566294192898,NA,7.10566294192898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23H21O6N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.30845707879573,8.30845707879573,8.30845707879573,NA,NA
C20H11O6N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.08700721387068,NA,NA,NA,NA,5.08700721387068,NA,NA,NA,NA,NA,NA,NA,NA,NA
C17H7O4N2P1,NA,NA,NA,NA,3.84701145108664,3.84701145108664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H9O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2515720844256,NA,NA,NA,NA,12.2515720844256,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19H11O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0973891844003,NA,NA,NA,10.0973891844003,10.0973891844003,NA,NA,NA,NA,10.0973891844003,10.0973891844003,NA,NA,NA
C18H11O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1482258957698,14.1482258957698,14.1482258957698,14.1482258957698,NA,14.1482258957698,14.1482258957698,14.1482258957698,NA,NA,NA,NA,NA,NA,NA
C17H9O5N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4148018319266,12.4148018319266,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H9O4N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.18061841222332,9.18061841222332,9.18061841222332,9.18061841222332,9.18061841222332,9.18061841222332,9.18061841222332,9.18061841222332,9.18061841222332,9.18061841222332,NA,NA,9.18061841222332,9.18061841222332,NA
C18H11O4N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5936774016085,NA,NA,NA,10.5936774016085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C21H13O7N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.03180074206059,NA,NA,NA,NA,8.03180074206059,NA,NA,NA,NA,NA,NA,NA,NA,NA
C21H13O6N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.71279993233088,9.71279993233088,9.71279993233088,9.71279993233088,NA,9.71279993233088,9.71279993233088,9.71279993233088,9.71279993233088,9.71279993233088,NA,NA,9.71279993233088,9.71279993233088,NA
C20H13O6N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2645956836284,13.2645956836284,NA,NA,13.2645956836284,13.2645956836284,13.2645956836284,13.2645956836284,NA,NA,NA,13.2645956836284,NA
