,s20230901001,s20230901002,s20230901003,s20230901004,s20230901005,s20230901006,s20230901007,s20230901008,s20230901009,s20230901034,s20230901035,s20230901036,s20230901037,s20230901038,s20230901039,s20230901040,s20230901041,s20230901042,s20230901061,s20230901062,s20230901063,s20230901064,s20230901065,s20230901066,s20230901067,s20230901068,s20230901069
C49H42O5N2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8167133804534,27.8167133804534,27.8167133804534,NA,NA,27.8167133804534,NA,27.8167133804534,27.8167133804534
C48H40O4N2,39.0348385564628,NA,NA,39.0348385564628,NA,39.0348385564628,39.0348385564628,39.0348385564628,39.0348385564628,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.0348385564628,NA,39.0348385564628,NA,NA,39.0348385564628,39.0348385564628,39.0348385564628,39.0348385564628
C31H20O6,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,NA,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,28.552441856316,NA,NA,28.552441856316,28.552441856316,28.552441856316,28.552441856316
C34H28O5,NA,13.8632074445957,NA,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957,NA,NA,13.8632074445957,13.8632074445957,13.8632074445957,13.8632074445957
C34H28O6,NA,NA,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486,NA,6.52924318336486,6.52924318336486,NA,NA,6.52924318336486,6.52924318336486,6.52924318336486,6.52924318336486
C34H26O4,NA,6.3001168025044,6.3001168025044,6.3001168025044,6.3001168025044,6.3001168025044,6.3001168025044,6.3001168025044,6.3001168025044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C42H27O2N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92767108901407,NA,3.92767108901407,3.92767108901407,3.92767108901407,3.92767108901407,NA,NA,3.92767108901407,NA,NA,NA,NA,NA,NA,NA,NA,NA
C38H25O1N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65036258408446,4.65036258408446,NA,4.65036258408446,4.65036258408446,4.65036258408446,NA,NA,4.65036258408446,NA,NA,NA,NA,NA,NA,NA,NA,NA
C39H25O1N1P2,15.3018389425783,NA,NA,15.3018389425783,15.3018389425783,NA,15.3018389425783,15.3018389425783,15.3018389425783,15.3018389425783,15.3018389425783,15.3018389425783,15.3018389425783,15.3018389425783,15.3018389425783,15.3018389425783,NA,15.3018389425783,15.3018389425783,15.3018389425783,15.3018389425783,NA,NA,15.3018389425783,NA,15.3018389425783,15.3018389425783
C39H25O2N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3754629855418,5.3754629855418,5.3754629855418,5.3754629855418,5.3754629855418,NA,NA,5.3754629855418,NA,NA,NA,NA,NA,NA,NA,NA,NA
C38H21O1N1P2,7.67233657842342,NA,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342,NA,NA,7.67233657842342,7.67233657842342,7.67233657842342,7.67233657842342
C39H23O1N1P2,NA,NA,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786,NA,NA,6.34488330436786,6.34488330436786,6.34488330436786,NA,NA,6.34488330436786,6.34488330436786,6.34488330436786,6.34488330436786
C38H19O2N1P2,NA,NA,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172,NA,NA,11.2188004600172,11.2188004600172,11.2188004600172,11.2188004600172
C36H17O3N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65036662546026,4.65036662546026,4.65036662546026,4.65036662546026,4.65036662546026,4.65036662546026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C37H21O2N1P2,6.62179205489359,NA,NA,6.62179205489359,6.62179205489359,NA,6.62179205489359,6.62179205489359,6.62179205489359,6.62179205489359,6.62179205489359,6.62179205489359,6.62179205489359,6.62179205489359,6.62179205489359,6.62179205489359,NA,6.62179205489359,NA,NA,NA,NA,NA,NA,NA,NA,NA
C35H21O1N1P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12736215023483,2.12736215023483,2.12736215023483,2.12736215023483,2.12736215023483,2.12736215023483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C34H17O1N1P2,15.415406409481,NA,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,15.415406409481,NA,NA,15.415406409481,15.415406409481,15.415406409481,15.415406409481
C34H15O1N1P2,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999,NA,NA,22.6460334914999,22.6460334914999,22.6460334914999,22.6460334914999
C28H58O5S1,18.2192990419568,18.2192990419568,NA,18.2192990419568,18.2192990419568,18.2192990419568,NA,18.2192990419568,18.2192990419568,18.2192990419568,18.2192990419568,18.2192990419568,18.2192990419568,18.2192990419568,18.2192990419568,18.2192990419568,NA,18.2192990419568,18.2192990419568,18.2192990419568,18.2192990419568,NA,18.2192990419568,18.2192990419568,18.2192990419568,18.2192990419568,18.2192990419568
C29H50O4S1,6.85069694340555,6.85069694340555,NA,6.85069694340555,6.85069694340555,6.85069694340555,6.85069694340555,6.85069694340555,6.85069694340555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C34H69O6N1S1,1.99753203993693,NA,NA,1.99753203993693,1.99753203993693,1.99753203993693,1.99753203993693,1.99753203993693,1.99753203993693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C33H65O5N1S1,NA,0.77211081727143,NA,0.77211081727143,0.77211081727143,0.77211081727143,NA,0.77211081727143,0.77211081727143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C34H67O5N1S1,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313,NA,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313,NA,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313,NA,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313,15.8980808169313
C32H65O6N1S1,NA,NA,NA,1.55297571061697,1.55297571061697,1.55297571061697,1.55297571061697,1.55297571061697,1.55297571061697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C33H67O6N1S1,NA,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,8.64460268187106,NA,NA,8.64460268187106,8.64460268187106,NA,8.64460268187106
C33H65O6N1S1,NA,1.9364348268007,NA,1.9364348268007,1.9364348268007,1.9364348268007,NA,1.9364348268007,1.9364348268007,1.9364348268007,1.9364348268007,1.9364348268007,1.9364348268007,1.9364348268007,1.9364348268007,1.9364348268007,NA,1.9364348268007,NA,NA,NA,NA,NA,NA,NA,NA,NA
C34H67O6N1S1,NA,0.71449537759088,NA,0.71449537759088,0.71449537759088,0.71449537759088,NA,0.71449537759088,0.71449537759088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
